purchase_year,payment_installments,order_counts
2016,1,47
2016,2,12
2016,3,17
2016,4,5
2016,5,6
2016,6,7
2016,7,6
2016,8,1
2016,9,1
2016,10,18
2017,1,8155
2017,2,2047
2017,3,1904
2017,4,1224
2017,5,996
2017,6,728
2017,7,334
2017,8,650
2017,9,141
2017,10,1100
2017,11,5
2017,12,22
2017,13,1
2017,14,2
2017,15,10
2017,16,1
2017,17,1
2017,18,5
2017,20,4
2017,21,2
2017,22,1
2017,24,9
2018,1,10328
2018,2,2615
2018,3,2059
2018,4,1385
2018,5,990
2018,6,774
2018,7,310
2018,8,1009
2018,9,95
2018,10,835
2018,11,5
2018,12,27
2018,13,2
2018,14,1
2018,15,16
2018,17,2
2018,18,2
2018,20,2
