months,freight_value_avg,total_price_avg
2016-09-01T00:00:00Z,14.57,59.12
2016-10-01T00:00:00Z,20.11,156.5
2016-12-01T00:00:00Z,8.72,19.62
2017-01-01T00:00:00Z,17.67,143.65
2017-02-01T00:00:00Z,19.98,146.74
2017-03-01T00:00:00Z,19.23,144.02
2017-04-01T00:00:00Z,19.56,153.66
2017-05-01T00:00:00Z,19.37,141.73
2017-06-01T00:00:00Z,19.52,140.37
2017-07-01T00:00:00Z,19.24,129.45
2017-08-01T00:00:00Z,19.19,136.09
2017-09-01T00:00:00Z,19.87,149.12
2017-10-01T00:00:00Z,19.75,144.55
2017-11-01T00:00:00Z,19.49,136.08
2017-12-01T00:00:00Z,18.97,136.9
2018-01-01T00:00:00Z,19.16,134.91
2018-02-01T00:00:00Z,18.6,128.64
2018-03-01T00:00:00Z,20.92,140.58
2018-04-01T00:00:00Z,20.45,145.42
2018-05-01T00:00:00Z,19.34,145.08
2018-06-01T00:00:00Z,22.26,144.49
2018-07-01T00:00:00Z,23.01,149.28
2018-08-01T00:00:00Z,20.51,138.43
2018-09-01T00:00:00Z,21.46,166.46
